강좌명,운영기관명,구,교육대상구분,카테고리,홈페이지주소
[2월 월담] 맨발걷기의 태동과 현황,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[조영호교수 특강] 시니어 행복멘탈코칭,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
영화로 보는 중국의 역사와 문화,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]혈자리로 건강찾기 : 새롭게 나를 만나는 시간 3기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]시 읽는 즐거움,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]단편낭독 4월 : 최진영 「쓰게 될 것」,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]쉽고 재미있는 시니어 건강체조&레크리에이션 시즌2,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[언제든학교]명화감상의 즐거움 시즌3,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[언제든학교]조향사와 함께하는 향수이야기 시즌3,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[원데이클래스] 캠핑 사이드테이블 만들기,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
이현호 시창작 교실 : 젠가식 시 쓰기,경기도 수원시평생학습관,팔달구,전체,예술/문화,http://learning.suwon.go.kr
[오후반] 서종남교수의 문학아카데미 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[오전반] 서종남교수의 문학아카데미 행복한 글쓰기 프로젝트 ON,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
나는 평온하게 죽고 싶습니다 : 말기 돌봄과 죽음의 현실에 관하여,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
북토크-이타주의자 선언 : 공적 슬픔과 타인의 발견,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
"참여형민주시민교육[안녕, 시민] 양육자가 알아야 할 성교육 첫걸음",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[3월 월담] 전통혼례와 현대혼례와의 융합,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
[특별 기획 강좌] 수원시민학부모 멘탈코칭,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
강유원의 2분기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]화목낭독 : 허먼 멜빌「모비딕」,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
아두이노를 활용한 드론 기초 코딩 [성균관대학교],경기도 수원시평생학습관,팔달구,성인,AI/코딩,http://learning.suwon.go.kr
[우리들교실] 시니어 쉘위훌라 건강댄스,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
"외로움의 습격 : 모두, 홀로 남겨질 것이다",경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]미술과 친해지기(건축편),경기도 수원시평생학습관,팔달구,성인,예술/문화,http://learning.suwon.go.kr
책으로 여행하다 : 오독오독 책읽기,경기도 수원시평생학습관,팔달구,전체,기타,http://learning.suwon.go.kr
[언제든학교]혈자리로 건강찾기 시즌4(심화반),경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[원데이클래스] 안전한 거북이_올바른 공구 사용법,경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[우리들교실] 시니어 여행 & 인물 스케치 교실,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
"[언제든학교]그해 겨울, 세계를 사로잡은 문학: 한강 소설 함께 읽기 & 상영회",경기도 수원시평생학습관,팔달구,성인,기타,http://learning.suwon.go.kr
[우리들교실] 시니어 아랑 고고장구&민요,경기도 수원시평생학습관,팔달구,시니어,기타,http://learning.suwon.go.kr
어깨동무 장애 청년 경제 교실,경기도 수원시평생학습관,팔달구,기타,기타,http://learning.suwon.go.kr
